serialNum,search_url,url,name_eng,name,genres,length,year,imdb_score,downloads,producer,actors
6001,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6001,Frailty,סדוק,מתח;אימה,100,2001,7.3,558,ביל פקסטון,ביל פקסטון;מתיו מקונוהי;פאוורס בות';מאט או'לירי;ג'רמי סמפטר;לוק אסקיו;דרק צ'יטווד;מיסי קרידר;לוי קרייס
5977,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=5977,The Mudge Boy,ילד המאדג',דרמה,94,2003,7.2,265,מייקל בורק.,אמיל הירש;טומי קיורי;ריצ'רד גניקינס
6007,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6007,The Snow Walker,ההולכת בשלג,הרפתקאות;דרמה,103,2003,7.5,283,צ'ארלס מרטין סמית',בארי פפר;אנבלה פיגאטוק;ג'יימס קרומוול;קירסטן וורן;ג'ון גרייס;רובין דאן
6005,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6005,X-Men: The Last Stand,X-מן: המפלט האחרון,פעולה;פנטזיה;מדע בדיוני;מתח,104,2006,7,"1,049",ברט ראטנר,יו ג'קמן;האלי ברי;איאן מק'קלן;פמקה ג'נסן;אנה פאקווין;קלסי גרמר;רבקה רומיין;ג'יימס מרסדן;שון אשמור;אהרון סטנפורד;ויני ג'ונס;פטריק סטיוארט;בן פוסטר;אלן פייג'
6006,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6006,The Saint,המלאך,פעולה;מתח;רומנטיקה,116,1997,5.9,384,פיליפ נויס,ואל קילמר;אליזבת' שו;ראדה סרבדזיג'ה;אמילי מורטימר;טומי פלנגן
5874,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5874,Spy Game,משחק ריגול,פעולה;מתח,126,2001,6.9,924,טוני סקוט,רוברט רדפורד;בראד פיט;קתרין מקורמק;סטפן דיליין;לארי בריגמן;מריאנה ז'אן-באפטיס;מתיו מארש;קולין סטינטון
6010,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6010,I Still Know What You Did Last Summer,אני עדיין יודע מה עשית בקיץ האחרון,אימה;נעורים;מיסתורין;מתח,100,1998,4.1,420,דני קאנון,ג'ניפר לאב-יואיט;פרדי פרינז ג'וניור;ברנדי;מקיי פייפר;מיוז ווטסון;ביל קובס;ג'ניפר אספוזיטו;מתיו סטל
6008,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6008,Star Trek: First Contact,מסע בין כוכבים: המפגש,מדע בדיוני;הרפתקאות;פעולה,106,1996,7.6,825,ג'ונתן פרייקס,פטריק סטיוארט;ג'ונתן פרייקס;ברנט ספיינר;לאוור ברטון;מייקל דורן;גיטס מקפיידן;מרינה סירטיס;אלפרה וודוורד;ג'יימס קרומוול
6009,http://www.torec.net/movies_subs.asp?p=580,http://www.torec.net/sub.asp?sub_id=6009,Clockstoppers,מעבר לעתיד,הרפתקאות;מדע בדיוני;מתח;פעולה;נעורים,94,2002,5,247,ג'ונתן פרייקס,ג'סי ברדפורד;פרנץ' סטיוארט;פולה גרסז;מייקל ביהן;רובין תומאס;ג'וליה סוויני;ג'ייסון וינסטון ג'ורג'
5872,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5872,A Bug's Life,באג לייף,אנימציה;פנטזיה;קומדיה;הרפתקאות;ילדים,96,1998,7.3,"1,133",ג'ון לאסיטר,דייב פולי;קווין ספייסי;ג'וליה לואיס-דרייפוס;היידן פנטייר;ריצ'רד קיינד;דייויד הייד פירס;דניס לירי;ג'ו רנפט;בוני האנט;מדליין קהן;בראד גארט;פיליס דילר;כריסטינה מיליאן
5876,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5876,Dead Meat,בשר מת,אימה;פעולה;קומדיה,80,2004,5,107,קונור מקמהון,מריאן אראג'ו;דייויד מוילרט;איאון וולאן;איימי רדמונד
5882,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5882,Jerry Maguire,ג'רי מגוויר,קומדיה;ספורט;דרמה,139,1996,7.3,698,קמרון קרואו,טום קרוז;רנה זלווגר;קובה גודינג ג'וניור;קלי פרסטון;ג'רי או'קונל;ג'יי מור;בוני האנט;רג'ינה קינג;טוד לואיסו;אריק סטולץ;דונאל לוג
5884,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5884,Nature Unleashed: Volcano,התפרצות מן הטבע,דרמה;מתח;פעולה,90,2004,3.4,216,מארק רופר,כריס וויליאם מרטין;מרני אלטון;אנטונלה אליה
5895,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5895,Gulliver's Travels part one,מסעות גוליבר חלק ראשון,דרמה,90,1996,6.9,353,,טד דנסון;פיטר אוטול
5892,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5892,Levity,לוויטי,דרמה;מתח,100,2003,6.5,262,אד סולומון,בילי בוב תורנטון;מורגן פרימן;הולי הנטר;קירסטין דנסט
5903,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5903,The Chronicles Of Riddick,רידיק: המסע מתחיל,מדע בדיוני;פעולה;הרפתקאות,134,2004,6.4,"1,801",דייויד טווהי,וין דיזל;ג'ודי דנץ';קולם פאור;ת'נדי ניוטון;קרל אורבן
5893,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5893,Bambi II,במבי 2,אנימציה;ילדים,75,2006,6.3,587,בראיין פימנטל,פטריק סטיוארט;אלכסנדר גולד;אנטוני גהנאם
5904,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5904,Wicker Park,3 בפארק,מתח;רומנטיקה;דרמה,114,2004,6.9,549,פול מק'גויגן,ג'וש הארטנט;רוז בירן;מתיו לילארד;דיאן קרוגר;כריסטופר קזינס;ג'סיקה פארה;ולסטה וראנה;מארק קמצ'ו
5921,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5921,Brother Bear 2,אחי הדוב 2,אנימציה;משפחה,73,2006,6.2,"1,910",בן גלאק,מנדי מור;פטריק דמפסי;ריק מוראניס;ג'רמי סורז;דייב תומאס
